uai;nom_de_l_etablissement;nb_candidats_g;taux_de_reussite_g;taux_d_acces_6eme_3eme;nb_mentions_g;ips;ecart_type_de_l_ips
0062181N;COLLEGE ARNAUD BELTRAME;132;95.0;93.0;107;114.8;31.5
0070018G;COLLEGE JOSEPH DURAND;66;94.0;96.0;53;109.2;29.2
0070023M;COLLEGE LOUIS JOUVET;31;100.0;87.0;25;104.9;27.2
0070086F;COLLEGE PRIVE SAINT JOSEPH EN VAL D'AY;62;100.0;96.0;46;99.2;23.1
0070092M;COLLEGE PRIVE NOTRE DAME;113;96.0;93.0;98;115.6;29.7
0070846G;COLLEGE GEORGES GOUY;61;89.0;92.0;42;102.0;27.7
0070847H;COLLEGE MARCEL CHAMONTIN;132;80.0;92.0;88;99.5;34.3
0070860X;COLLEGE PRIVE MARIE RIVIER;127;98.0;93.0;113;110.4;29.7
0070863A;COLLEGE PRIVE SAINT JOSEPH;54;96.0;78.0;49;108.0;23.9
0071192H;COLLEGE PRIVE SAINT LOUIS;122;98.0;94.0;102;106.1;27.3
0080046G;COLLEGE ELISABETH DE NASSAU;61;89.0;82.0;45;95.7;34.2
0080052N;COLLEGE CHARLES BRUNEAU;43;86.0;90.0;29;95.4;28.9
0080079T;COLLEGE FRED SCAMARONI;61;69.0;85.0;36;83.2;28.1
0080826E;COLLEGE LE LAC;52;77.0;91.0;25;70.5;20.4
0080839U;COLLEGE PASTEUR;67;76.0;87.0;40;78.8;25.9
0080894D;COLLEGE ROGER SALENGRO;59;83.0;91.0;41;66.2;20.4
0080949N;COLLEGE GEORGE SAND;70;83.0;95.0;38;84.2;28.1
0081098A;COLLEGE ANDREE VIENOT;40;78.0;95.0;26;92.2;29.2
0090001C;COLLEGE MARIO BEULAYGUE;33;100.0;84.0;28;106.1;26.7
0090007J;COLLEGE VICTOR HUGO;60;85.0;90.0;39;92.1;28.4
0090573Z;COLLEGE MIREPOIX;105;94.0;96.0;83;99.9;32.0
0090591U;COLLEGE PRIVE NOTRE-DAME;80;99.0;87.0;67;116.3;28.6
0100005B;COLLEGE PAUL PORTIER;129;72.0;94.0;71;93.1;28.0
0100011H;COLLEGE JEAN MOULIN;81;88.0;94.0;60;99.9;26.1
