nb_candidats_g,taux_de_reussite_g,taux_d_acces_6eme_3eme,nb_mentions_g,ips,ecart_type_de_l_ips
82,89.0,93.0,56,92.2,27.2
150,90.0,90.0,114,105.1,34.0
79,95.0,93.0,66,95.3,27.6
199,92.0,96.0,153,115.8,30.2
44,91.0,100.0,36,93.9,29.5
38,100.0,78.0,37,104.9,28.4
151,96.0,87.0,130,110.0,35.1
207,96.0,87.0,178,124.1,28.3
135,92.0,94.0,95,111.6,32.0
114,96.0,91.0,83,104.4,33.8
40,90.0,100.0,28,99.9,25.1
122,94.0,95.0,92,114.3,29.5
66,89.0,94.0,44,97.8,28.8
129,91.0,94.0,79,106.6,29.3
84,87.0,96.0,55,91.6,27.3
108,93.0,94.0,77,105.5,29.9
168,96.0,96.0,144,106.1,28.4
31,90.0,93.0,24,93.8,23.3
94,88.0,93.0,69,98.4,31.3
116,95.0,94.0,94,104.0,30.6
43,100.0,88.0,37,102.6,25.0
66,100.0,90.0,61,112.3,27.1
33,94.0,85.0,28,104.9,27.9
69,93.0,88.0,45,105.7,30.3
50,98.0,87.0,39,95.2,24.6
47,100.0,92.0,45,102.5,25.6
33,88.0,87.0,26,100.8,26.7
35,100.0,92.0,33,102.2,29.6
85,98.0,84.0,73,115.6,30.4
102,82.0,93.0,64,104.8,29.9
50,92.0,87.0,37,95.8,26.7
115,95.0,89.0,84,90.1,30.4
47,96.0,79.0,38,103.8,25.7
79,86.0,94.0,51,96.8,30.3
69,84.0,91.0,48,102.3,32.6
91,88.0,93.0,65,96.6,30.4
119,97.0,81.0,106,113.0,28.1
107,86.0,97.0,75,106.5,32.5
124,90.0,93.0,102,107.5,40.0
54,100.0,94.0,52,97.7,24.0
50,96.0,90.0,36,106.7,26.5
202,95.0,93.0,169,98.2,33.4
130,88.0,96.0,92,101.1,34.6
167,86.0,93.0,114,102.1,34.4
248,94.0,95.0,198,114.6,42.5
137,99.0,97.0,127,109.5,29.9
146,93.0,92.0,113,121.4,34.4
67,99.0,94.0,55,110.0,32.8
131,83.0,90.0,78,92.1,38.0
99,88.0,83.0,64,114.9,27.6
119,94.0,88.0,96,116.0,27.8
