nb_candidats_g,taux_de_reussite_g,taux_d_acces_6eme_3eme,nb_mentions_g,ips,ecart_type_de_l_ips
72,94.0,93.0,48,97.8,28.2
31,97.0,83.0,24,110.1,30.8
169,96.0,96.0,141,111.5,32.7
48,58.0,83.0,14,73.8,22.9
49,94.0,89.0,30,98.2,24.7
109,95.0,91.0,93,97.4,31.3
94,98.0,89.0,83,96.8,31.4
55,95.0,77.0,45,104.2,28.5
33,94.0,93.0,25,106.0,26.0
99,93.0,92.0,75,108.8,33.4
30,93.0,94.0,28,91.2,28.1
53,100.0,92.0,44,102.8,30.8
113,76.0,90.0,59,91.9,30.9
111,100.0,90.0,106,108.7,28.6
90,78.0,94.0,47,89.3,29.2
103,85.0,93.0,64,91.5,30.1
96,81.0,89.0,66,97.1,38.4
150,88.0,95.0,116,102.0,41.3
174,91.0,94.0,118,105.3,32.6
117,87.0,98.0,74,103.6,32.3
197,82.0,92.0,109,117.3,35.8
136,89.0,95.0,89,95.6,30.5
168,78.0,89.0,100,99.4,36.8
167,90.0,91.0,111,105.6,35.2
155,95.0,97.0,122,120.9,34.6
142,97.0,92.0,115,122.5,37.2
214,89.0,92.0,138,111.1,33.2
137,82.0,91.0,89,104.5,35.2
146,90.0,94.0,94,102.3,28.8
177,76.0,93.0,82,82.4,24.5
134,93.0,96.0,96,124.3,32.8
133,77.0,92.0,60,78.0,23.6
211,100.0,88.0,197,132.5,27.4
123,89.0,92.0,85,87.6,27.8
128,84.0,92.0,96,129.9,33.5
131,94.0,94.0,92,124.9,37.0
100,98.0,90.0,83,112.6,35.7
184,91.0,96.0,137,115.7,31.9
209,98.0,94.0,185,142.6,32.3
154,83.0,92.0,91,114.3,36.1
174,75.0,88.0,78,94.1,28.6
197,100.0,92.0,196,147.1,14.2
82,100.0,76.0,80,134.3,25.1
146,100.0,94.0,142,148.0,17.3
35,100.0,80.0,35,142.8,19.9
121,93.0,91.0,90,131.1,36.3
92,95.0,92.0,59,90.5,30.2
105,91.0,90.0,75,109.2,33.6
110,92.0,87.0,84,113.0,35.3
179,91.0,89.0,137,118.1,36.2
129,90.0,85.0,85,122.4,37.4
110,74.0,79.0,54,109.5,35.0
123,87.0,91.0,85,128.2,33.6
138,97.0,92.0,117,139.8,32.7
120,86.0,94.0,88,127.1,38.6
128,85.0,97.0,78,86.0,27.0
203,99.0,93.0,187,148.5,29.8
110,85.0,93.0,64,86.0,33.8
108,99.0,97.0,104,139.7,20.5
221,100.0,94.0,220,142.4,20.1
95,100.0,94.0,92,144.7,20.2
113,100.0,94.0,113,145.5,18.4
46,100.0,91.0,44,145.0,14.9
152,76.0,89.0,75,90.1,31.1
125,94.0,98.0,94,133.4,37.8
181,92.0,98.0,131,105.9,34.6
162,86.0,95.0,97,86.2,30.1
155,83.0,89.0,93,97.0,33.1
112,99.0,84.0,99,101.5,24.8
88,98.0,93.0,77,134.1,29.7
150,97.0,89.0,128,125.6,27.9
114,99.0,83.0,99,108.5,27.3
175,91.0,94.0,125,85.2,26.9
132,84.0,90.0,82,92.9,35.9
155,88.0,94.0,86,85.3,27.2
133,85.0,94.0,69,72.7,21.8
122,90.0,97.0,93,122.1,42.4
126,84.0,85.0,69,73.6,22.9
111,88.0,89.0,71,96.6,36.4
78,87.0,88.0,47,93.5,28.8
140,71.0,90.0,62,81.5,28.6
168,85.0,94.0,104,74.6,22.8
167,89.0,93.0,116,111.9,40.5
140,88.0,89.0,83,78.0,24.8
162,79.0,93.0,91,88.0,26.4
155,83.0,91.0,90,89.6,28.9
127,94.0,91.0,85,86.3,26.5
196,100.0,86.0,173,124.7,29.1
74,91.0,92.0,51,77.8,28.4
187,76.0,86.0,94,84.1,27.1
98,100.0,96.0,98,134.3,35.1
143,90.0,89.0,95,90.8,30.8
30,93.0,86.0,23,141.1,33.0
94,96.0,93.0,79,122.9,38.5
142,79.0,96.0,64,75.2,20.9
168,89.0,93.0,120,113.8,43.8
111,86.0,90.0,80,79.7,23.2
114,98.0,92.0,105,137.0,21.5
140,83.0,88.0,81,96.7,33.5
131,95.0,94.0,104,126.1,38.3
171,95.0,93.0,141,132.0,37.9
165,92.0,91.0,123,95.9,34.8
196,84.0,88.0,121,92.9,32.0
104,96.0,90.0,73,108.6,32.6
144,85.0,96.0,80,116.4,30.0
160,88.0,93.0,95,103.7,33.9
92,89.0,84.0,67,110.2,37.9
144,97.0,92.0,125,128.9,34.5
116,94.0,95.0,84,92.9,29.9
181,99.0,98.0,166,133.3,25.0
128,85.0,93.0,68,88.1,28.4
157,95.0,95.0,120,123.7,36.5
164,90.0,90.0,100,88.0,26.2
121,77.0,92.0,53,72.8,21.1
109,82.0,85.0,63,78.9,24.1
78,81.0,95.0,35,67.4,14.2
126,86.0,94.0,82,105.1,32.6
154,86.0,94.0,103,120.4,33.1
97,78.0,81.0,48,71.7,21.4
138,93.0,95.0,102,122.2,33.4
125,80.0,89.0,75,110.0,34.3
147,86.0,94.0,89,85.4,28.7
187,86.0,91.0,121,106.6,36.7
115,88.0,97.0,84,121.8,34.1
174,74.0,91.0,86,81.2,25.7
111,94.0,96.0,72,113.4,32.6
106,100.0,87.0,99,134.6,25.0
154,100.0,96.0,153,131.5,26.0
150,78.0,91.0,59,93.0,30.3
160,89.0,92.0,112,120.6,32.2
108,95.0,92.0,81,100.2,30.7
45,100.0,75.0,41,117.7,34.7
96,85.0,96.0,66,113.3,33.7
149,91.0,94.0,92,86.9,25.9
116,85.0,91.0,65,77.5,26.0
117,93.0,98.0,94,125.2,34.4
72,88.0,99.0,44,110.1,31.5
79,92.0,94.0,56,120.0,32.8
199,95.0,89.0,170,108.7,34.0
38,92.0,94.0,31,113.7,30.7
143,92.0,91.0,107,114.7,33.5
47,89.0,96.0,34,93.9,29.3
59,90.0,91.0,32,95.3,35.5
116,90.0,92.0,72,100.0,34.0
46,89.0,61.0,16,80.1,25.6
81,94.0,90.0,52,93.3,31.1
88,89.0,90.0,50,97.5,32.5
95,100.0,95.0,69,117.3,29.5
186,96.0,86.0,123,114.9,35.7
71,90.0,83.0,37,77.4,18.0
140,83.0,89.0,75,99.5,33.6
62,84.0,90.0,33,95.4,31.6
60,62.0,82.0,17,73.3,15.8
116,84.0,94.0,55,89.9,27.1
78,85.0,93.0,43,111.1,31.6
51,98.0,83.0,34,85.4,26.5
111,99.0,97.0,96,117.9,34.1
99,96.0,95.0,70,117.3,34.0
118,91.0,93.0,79,100.7,33.6
70,81.0,86.0,30,92.2,27.9
38,100.0,88.0,30,94.5,30.1
35,97.0,97.0,24,89.9,30.4
91,84.0,87.0,41,89.2,23.9
56,96.0,96.0,28,87.8,24.8
49,90.0,94.0,26,99.3,29.9
158,79.0,83.0,71,74.8,23.3
122,82.0,75.0,60,80.3,27.6
50,92.0,92.0,27,77.5,26.1
227,79.0,88.0,88,65.2,16.2
163,78.0,90.0,64,64.1,14.8
54,98.0,69.0,44,105.8,33.0
64,100.0,84.0,51,118.2,26.1
143,74.0,83.0,87,88.5,33.0
194,74.0,89.0,107,71.3,22.6
152,92.0,91.0,116,94.5,36.4
128,84.0,91.0,85,78.0,24.6
190,100.0,93.0,185,126.7,28.0
182,90.0,92.0,131,74.4,28.5
227,86.0,89.0,164,87.9,32.1
97,69.0,92.0,44,76.7,28.2
106,78.0,89.0,71,77.4,28.7
130,94.0,93.0,107,100.9,37.5
97,96.0,92.0,65,75.1,24.6
150,89.0,93.0,116,98.1,37.0
164,75.0,87.0,96,87.7,30.4
180,93.0,97.0,132,91.5,31.1
163,72.0,88.0,73,73.1,24.6
163,90.0,90.0,117,89.2,32.8
53,100.0,94.0,52,132.0,30.4
167,95.0,93.0,113,86.8,32.0
379,71.0,92.0,177,81.6,28.4
304,64.0,95.0,124,77.0,27.0
390,57.0,94.0,104,71.2,27.5
90,87.0,91.0,59,100.2,30.6
193,89.0,88.0,138,101.6,32.8
114,97.0,91.0,97,128.7,34.6
112,88.0,89.0,76,101.8,32.4
144,71.0,87.0,79,79.3,27.5
110,100.0,91.0,101,122.8,29.1
137,81.0,90.0,87,111.0,42.9
160,81.0,93.0,99,94.2,27.9
186,92.0,97.0,142,115.7,32.5
129,82.0,96.0,87,106.5,35.7
74,88.0,94.0,57,133.1,34.4
180,94.0,95.0,144,125.6,37.2
111,100.0,90.0,103,106.0,26.1
149,85.0,88.0,101,108.1,32.5
133,82.0,98.0,91,101.5,30.4
143,100.0,83.0,142,147.3,35.9
116,81.0,96.0,77,120.5,30.7
152,88.0,96.0,111,110.1,31.1
45,80.0,91.0,25,92.9,29.1
88,83.0,93.0,51,85.8,29.7
70,97.0,99.0,59,101.6,27.6
92,93.0,93.0,70,93.7,26.2
69,96.0,92.0,50,97.2,29.5
36,97.0,69.0,34,96.0,24.6
87,98.0,93.0,68,96.9,31.9
117,94.0,92.0,89,97.9,33.6
102,90.0,92.0,73,100.5,30.8
87,91.0,90.0,70,113.4,32.8
101,100.0,84.0,92,117.6,25.3
132,98.0,75.0,115,127.1,29.2
75,76.0,78.0,37,66.9,20.2
34,85.0,96.0,25,105.0,28.2
74,92.0,94.0,52,105.1,31.5
134,96.0,90.0,109,101.2,27.5
44,100.0,98.0,40,98.6,30.4
134,78.0,92.0,86,85.5,32.9
143,99.0,93.0,129,113.9,28.0
149,89.0,97.0,111,103.8,34.8
96,86.0,85.0,70,105.8,37.4
68,91.0,86.0,56,99.7,29.5
37,97.0,100.0,33,100.5,29.2
40,88.0,77.0,32,90.9,22.3
76,96.0,91.0,62,99.0,34.1
68,99.0,94.0,52,106.9,26.7
73,97.0,84.0,45,110.4,25.9
190,98.0,78.0,171,139.3,35.6
113,89.0,83.0,82,111.2,40.4
136,90.0,93.0,97,123.6,40.1
143,97.0,98.0,109,108.4,23.2
64,91.0,85.0,38,116.2,29.7
99,97.0,96.0,79,112.5,28.3
176,97.0,94.0,137,110.4,33.5
151,91.0,93.0,117,100.8,30.5
136,95.0,98.0,113,112.8,31.8
121,79.0,77.0,60,85.5,31.4
107,93.0,89.0,77,86.9,32.5
98,91.0,95.0,62,90.1,33.1
131,87.0,85.0,80,82.2,29.4
135,77.0,91.0,73,74.6,27.9
43,93.0,71.0,29,110.4,31.6
49,98.0,81.0,37,102.2,27.3
106,100.0,87.0,99,125.7,27.1
56,88.0,84.0,37,75.6,23.8
116,84.0,91.0,82,106.7,36.9
55,96.0,92.0,49,103.7,32.2
153,91.0,92.0,120,108.7,33.8
105,94.0,90.0,68,108.6,34.9
70,93.0,92.0,57,108.1,30.4
49,98.0,89.0,43,99.7,30.0
44,89.0,96.0,31,95.8,24.6
88,99.0,92.0,84,104.2,29.3
104,100.0,88.0,96,112.5,27.2
131,98.0,88.0,110,121.4,30.0
63,92.0,86.0,43,102.8,25.9
151,87.0,91.0,103,90.4,32.9
52,96.0,92.0,40,105.0,31.6
96,98.0,92.0,87,117.5,28.0
62,90.0,93.0,50,97.1,31.5
145,90.0,96.0,108,106.4,31.8
96,81.0,90.0,60,89.4,32.6
77,82.0,82.0,41,73.3,26.9
51,98.0,88.0,39,107.2,28.1
80,98.0,83.0,67,121.3,28.7
99,99.0,98.0,91,103.1,26.2
59,98.0,76.0,53,107.3,29.3
176,98.0,95.0,137,107.1,27.5
101,99.0,90.0,88,105.6,29.3
54,100.0,96.0,50,102.3,25.5
123,100.0,97.0,114,106.0,26.5
92,98.0,96.0,82,106.9,26.5
82,98.0,89.0,65,104.0,26.2
155,97.0,91.0,137,103.3,30.1
151,91.0,97.0,104,106.1,30.3
175,98.0,91.0,157,126.4,28.8
97,99.0,94.0,83,106.6,32.1
74,81.0,86.0,38,74.4,24.2
121,88.0,93.0,92,98.4,29.9
180,99.0,88.0,168,133.0,28.3
141,96.0,91.0,113,117.8,34.1
125,98.0,92.0,109,117.8,28.7
93,94.0,91.0,78,115.5,34.1
65,94.0,99.0,49,94.5,30.4
72,93.0,92.0,57,95.6,27.4
92,96.0,94.0,64,107.1,32.2
69,88.0,92.0,54,97.7,26.9
81,91.0,90.0,52,99.1,28.3
68,79.0,83.0,44,91.6,33.9
134,100.0,92.0,125,116.1,29.8
83,100.0,78.0,76,104.2,26.4
64,97.0,81.0,55,99.7,33.3
133,100.0,92.0,132,116.5,27.0
107,99.0,89.0,94,105.7,26.6
121,93.0,91.0,89,96.3,32.5
69,81.0,95.0,46,91.4,29.6
79,100.0,90.0,71,108.6,24.8
62,98.0,95.0,60,105.1,28.1
105,99.0,86.0,96,109.9,28.2
138,78.0,84.0,81,76.5,28.2
78,71.0,92.0,35,85.4,28.5
101,89.0,84.0,71,94.9,37.6
190,100.0,92.0,183,130.8,26.8
99,93.0,97.0,84,114.8,33.7
45,89.0,93.0,31,92.7,28.0
65,86.0,97.0,48,103.4,30.8
93,75.0,96.0,57,96.6,32.5
71,70.0,89.0,42,71.6,25.1
80,76.0,93.0,56,88.3,28.5
61,95.0,98.0,43,91.7,32.5
76,87.0,93.0,47,98.7,29.6
40,98.0,95.0,27,98.7,29.3
98,99.0,94.0,86,95.6,22.3
113,92.0,90.0,92,97.6,32.4
94,94.0,98.0,74,101.2,33.3
232,98.0,89.0,194,123.0,29.5
55,93.0,72.0,40,77.1,18.8
137,91.0,93.0,100,103.7,36.3
109,92.0,92.0,82,107.7,31.3
127,85.0,92.0,89,99.2,32.4
161,99.0,95.0,155,136.9,23.2
88,93.0,92.0,71,105.5,33.9
47,89.0,85.0,34,68.8,18.7
107,79.0,82.0,61,86.5,34.3
76,87.0,93.0,56,118.3,37.2
157,92.0,92.0,121,96.9,34.4
104,93.0,90.0,80,121.4,40.1
77,94.0,87.0,66,107.6,35.1
91,88.0,88.0,57,92.0,26.2
63,86.0,92.0,39,87.8,27.1
48,94.0,82.0,30,108.5,29.6
107,98.0,91.0,91,104.4,29.8
90,93.0,94.0,77,116.1,34.1
100,96.0,95.0,89,111.8,33.1
81,90.0,86.0,60,103.3,32.7
106,95.0,95.0,87,101.7,25.5
66,98.0,91.0,57,101.4,31.4
71,89.0,95.0,49,97.7,27.7
174,100.0,96.0,172,107.7,28.2
68,100.0,88.0,62,109.9,27.0
133,100.0,97.0,132,104.1,25.7
121,98.0,97.0,102,98.8,23.3
67,99.0,93.0,64,100.4,23.9
110,90.0,87.0,86,101.9,35.2
42,88.0,100.0,29,91.8,26.1
82,94.0,92.0,69,93.2,33.0
49,98.0,91.0,39,98.2,21.7
154,98.0,93.0,131,104.9,29.4
139,81.0,86.0,81,85.2,30.4
91,89.0,90.0,68,97.3,33.1
208,93.0,92.0,164,99.5,33.6
99,76.0,93.0,54,79.5,27.4
89,79.0,79.0,52,73.5,28.3
72,85.0,99.0,52,98.0,30.1
156,98.0,95.0,130,112.6,30.2
74,86.0,91.0,54,82.0,28.9
66,94.0,99.0,53,88.6,27.9
91,86.0,96.0,62,95.0,30.6
73,96.0,92.0,65,118.4,37.3
72,93.0,93.0,54,92.5,32.4
85,99.0,81.0,72,118.8,40.0
63,97.0,95.0,60,105.1,34.4
158,91.0,87.0,122,90.7,28.0
97,89.0,95.0,64,86.0,31.3
108,100.0,83.0,79,98.8,32.4
184,99.0,86.0,174,103.0,27.9
134,95.0,91.0,100,97.6,30.0
113,92.0,95.0,88,91.5,30.2
121,85.0,87.0,78,116.5,28.3
38,95.0,81.0,32,110.3,27.8
95,77.0,92.0,57,103.9,28.4
124,77.0,91.0,58,75.7,23.4
83,99.0,87.0,73,97.4,31.9
167,71.0,97.0,82,81.2,28.0
97,97.0,85.0,83,104.9,42.6
98,91.0,86.0,71,99.1,41.5
115,73.0,91.0,62,81.8,26.0
71,86.0,90.0,47,78.8,22.9
120,82.0,90.0,68,78.1,25.4
81,98.0,75.0,63,99.1,31.2
135,100.0,91.0,132,126.1,26.1
76,100.0,81.0,75,109.5,29.6
186,100.0,96.0,174,133.7,28.3
31,100.0,68.0,22,99.4,27.7
76,100.0,88.0,60,102.9,29.2
46,100.0,73.0,44,100.9,25.1
74,99.0,88.0,66,114.0,31.9
103,94.0,86.0,76,97.6,29.8
42,93.0,69.0,33,103.8,28.5
54,100.0,90.0,47,104.9,26.7
95,81.0,93.0,61,83.9,33.2
56,88.0,92.0,38,95.8,31.2
78,88.0,93.0,52,82.3,29.0
108,91.0,97.0,82,109.2,36.2
174,60.0,90.0,55,82.3,27.4
109,88.0,87.0,67,90.0,32.6
113,93.0,91.0,72,91.6,34.1
125,95.0,90.0,100,86.7,32.1
128,95.0,99.0,103,118.7,34.7
71,83.0,90.0,38,82.9,26.8
32,88.0,86.0,21,81.6,28.9
67,78.0,85.0,34,83.9,25.5
107,88.0,94.0,74,101.6,35.5
67,75.0,80.0,39,69.4,21.3
91,82.0,90.0,53,79.0,23.3
115,90.0,89.0,80,89.5,29.6
147,93.0,93.0,116,109.2,34.8
90,91.0,86.0,67,92.3,34.1
124,94.0,92.0,97,125.7,35.4
133,92.0,99.0,105,126.5,35.0
198,100.0,89.0,192,128.2,29.7
86,99.0,88.0,76,113.7,33.2
134,99.0,85.0,128,107.7,29.4
65,86.0,85.0,39,111.7,36.7
104,95.0,91.0,85,110.0,32.8
125,88.0,98.0,83,93.6,28.9
106,96.0,98.0,91,100.1,31.5
76,89.0,94.0,55,108.9,29.6
163,86.0,97.0,119,97.1,29.9
138,99.0,91.0,126,120.7,28.1
248,100.0,88.0,237,131.7,24.5
130,68.0,90.0,57,75.6,21.7
126,79.0,95.0,79,89.4,29.7
96,85.0,88.0,75,118.8,36.6
136,94.0,94.0,106,113.1,31.7
151,84.0,97.0,95,97.6,30.0
163,81.0,94.0,100,98.0,34.2
107,85.0,89.0,72,103.4,25.7
69,84.0,93.0,42,82.5,24.2
82,74.0,85.0,48,73.2,25.1
116,78.0,84.0,68,93.6,29.1
31,97.0,81.0,23,94.7,23.7
143,83.0,93.0,91,103.5,29.9
64,89.0,90.0,35,98.8,29.9
63,100.0,95.0,55,119.1,25.2
34,100.0,84.0,31,102.3,27.4
61,93.0,98.0,35,87.3,27.3
72,93.0,93.0,51,91.6,34.5
48,100.0,88.0,38,94.2,25.1
83,94.0,72.0,67,113.1,29.9
123,97.0,90.0,109,109.3,28.6
78,95.0,96.0,49,92.8,30.3
87,93.0,94.0,60,91.1,28.3
121,92.0,91.0,79,89.4,33.9
135,96.0,91.0,111,113.9,37.7
108,95.0,95.0,85,88.1,29.4
100,87.0,88.0,72,78.5,24.4
225,99.0,87.0,205,114.6,28.8
132,98.0,92.0,113,108.5,28.5
35,94.0,92.0,27,103.5,28.5
69,100.0,90.0,60,103.9,27.4
78,90.0,93.0,52,82.0,28.1
110,92.0,89.0,84,87.8,31.1
89,99.0,93.0,83,104.6,36.4
167,85.0,91.0,107,77.4,28.0
100,86.0,97.0,61,76.1,23.6
153,97.0,95.0,129,113.4,33.6
108,90.0,93.0,78,88.4,29.3
102,95.0,91.0,81,83.3,25.6
111,79.0,94.0,62,83.0,26.2
137,91.0,97.0,102,92.8,30.1
131,94.0,93.0,96,93.5,29.0
93,91.0,88.0,59,106.8,34.6
97,92.0,93.0,69,102.0,33.1
149,83.0,97.0,82,94.9,30.1
48,98.0,90.0,39,75.9,26.0
103,90.0,94.0,69,88.5,28.4
138,90.0,94.0,99,95.8,34.7
128,98.0,97.0,108,98.9,32.8
59,78.0,93.0,36,87.0,28.5
76,95.0,91.0,52,85.9,26.5
85,86.0,94.0,50,78.9,26.9
120,100.0,98.0,112,111.1,34.4
73,77.0,91.0,43,99.2,32.0
36,94.0,88.0,28,104.3,28.9
55,89.0,93.0,30,89.6,26.2
159,92.0,95.0,119,112.7,32.0
52,94.0,86.0,39,113.7,26.0
120,89.0,93.0,79,97.3,33.1
160,93.0,93.0,124,113.9,40.0
56,95.0,96.0,40,93.3,26.7
104,99.0,90.0,92,124.2,29.9
42,98.0,77.0,28,110.7,28.4
137,95.0,95.0,119,108.3,29.2
80,96.0,92.0,55,107.4,30.8
63,95.0,99.0,53,105.4,28.4
76,97.0,87.0,68,112.8,32.4
154,99.0,55.0,149,130.4,27.1
117,100.0,86.0,115,132.4,27.8
84,98.0,66.0,68,114.0,27.3
83,100.0,90.0,78,127.4,27.6
105,92.0,94.0,80,102.2,30.5
169,96.0,91.0,135,116.4,32.1
114,89.0,94.0,89,121.1,35.4
185,95.0,96.0,157,111.6,32.9
130,99.0,90.0,129,128.8,28.3
75,97.0,92.0,67,125.4,29.3
40,98.0,98.0,35,123.3,28.6
67,91.0,99.0,49,109.2,28.3
92,95.0,90.0,67,95.3,28.9
104,95.0,86.0,75,103.1,29.5
231,84.0,91.0,160,101.4,31.2
150,100.0,85.0,139,120.5,29.3
214,89.0,89.0,158,106.8,33.8
132,76.0,89.0,65,63.3,15.9
53,98.0,86.0,49,111.1,29.3
188,85.0,85.0,123,102.9,30.4
201,94.0,95.0,146,105.8,33.2
173,90.0,92.0,135,83.2,36.0
115,97.0,95.0,89,103.7,33.3
142,81.0,86.0,85,77.7,26.8
107,79.0,89.0,76,100.9,31.4
124,90.0,86.0,93,84.9,30.2
102,95.0,95.0,83,102.3,31.2
162,94.0,97.0,133,112.6,32.8
51,100.0,97.0,47,103.1,31.2
131,99.0,99.0,123,118.5,33.8
124,82.0,86.0,72,86.9,32.1
91,95.0,95.0,74,112.5,33.8
131,96.0,97.0,117,124.5,32.9
128,92.0,89.0,96,109.7,32.8
83,87.0,87.0,50,70.4,23.0
137,93.0,95.0,98,98.1,37.6
85,98.0,93.0,63,96.6,28.7
206,97.0,92.0,184,115.7,29.9
165,94.0,91.0,143,99.7,33.3
122,77.0,88.0,59,70.1,20.2
98,100.0,96.0,88,110.7,33.7
99,95.0,93.0,83,113.3,35.1
125,94.0,96.0,91,88.3,31.0
169,99.0,92.0,142,124.7,31.1
72,93.0,93.0,53,76.6,24.2
95,94.0,97.0,79,106.0,31.6
49,88.0,90.0,36,93.2,27.5
64,89.0,90.0,45,81.1,31.2
74,92.0,88.0,52,74.9,27.4
147,99.0,85.0,133,116.0,30.1
70,96.0,95.0,59,117.4,27.3
110,98.0,95.0,95,115.5,27.1
121,97.0,86.0,100,127.5,28.9
163,99.0,92.0,156,131.8,29.2
100,95.0,86.0,85,102.9,36.6
126,86.0,95.0,99,125.6,37.5
165,99.0,97.0,151,131.3,28.4
171,95.0,91.0,143,130.1,37.5
101,87.0,91.0,62,75.7,24.6
74,93.0,88.0,53,89.7,36.9
128,97.0,97.0,119,124.2,32.8
122,85.0,92.0,75,71.1,21.4
143,89.0,89.0,110,119.9,38.2
108,87.0,90.0,69,77.4,26.0
118,76.0,84.0,69,74.5,17.8
146,92.0,93.0,119,120.7,32.3
137,88.0,90.0,93,104.2,39.1
141,87.0,87.0,107,110.0,37.8
152,84.0,96.0,108,93.9,37.9
118,97.0,93.0,106,129.4,34.8
85,98.0,95.0,68,121.4,39.0
165,99.0,92.0,160,142.8,24.0
115,99.0,83.0,110,133.4,28.8
163,100.0,93.0,162,138.3,25.5
172,100.0,92.0,171,135.1,23.4
55,100.0,88.0,50,127.8,27.3
56,98.0,96.0,52,118.2,28.5
201,100.0,94.0,199,142.6,21.3
167,98.0,95.0,149,131.8,33.1
113,84.0,89.0,77,99.9,37.7
104,99.0,97.0,98,109.8,26.6
186,89.0,98.0,134,110.0,31.5
38,87.0,77.0,27,98.7,25.8
99,83.0,93.0,64,83.5,28.4
159,88.0,95.0,115,99.0,35.6
121,88.0,98.0,67,89.1,31.2
146,99.0,98.0,125,106.1,32.3
73,97.0,97.0,61,99.6,31.6
43,100.0,84.0,35,103.3,29.3
112,96.0,95.0,86,114.9,33.6
103,93.0,95.0,67,107.9,28.2
45,98.0,93.0,26,95.0,26.2
136,100.0,91.0,133,121.2,29.5
65,100.0,94.0,60,110.6,28.8
92,84.0,86.0,60,93.5,31.2
136,92.0,93.0,97,102.2,29.2
52,96.0,94.0,44,99.2,32.4
131,95.0,96.0,100,97.1,30.5
45,91.0,91.0,32,96.8,29.3
130,92.0,89.0,102,108.9,36.3
69,91.0,90.0,46,101.6,36.4
180,100.0,95.0,169,125.6,29.6
58,83.0,97.0,39,101.7,24.9
84,99.0,90.0,80,123.1,32.0
148,96.0,87.0,122,130.6,28.2
100,92.0,87.0,60,102.0,32.8
113,95.0,94.0,94,101.6,29.3
43,86.0,83.0,28,90.0,24.4
128,87.0,91.0,89,105.2,32.6
35,100.0,100.0,31,94.4,29.2
95,89.0,93.0,64,96.7,27.7
74,89.0,90.0,44,87.7,32.6
83,99.0,98.0,71,117.2,34.2
55,82.0,88.0,31,93.3,32.7
103,95.0,93.0,83,94.3,28.8
107,99.0,89.0,100,100.0,28.5
40,95.0,90.0,29,105.6,25.8
79,96.0,92.0,57,111.3,30.6
73,90.0,95.0,54,107.1,28.3
71,93.0,99.0,55,112.2,31.9
75,95.0,88.0,65,116.8,30.9
166,90.0,98.0,121,106.4,30.6
100,96.0,97.0,84,109.6,31.0
76,88.0,93.0,54,114.2,37.4
67,88.0,86.0,52,113.0,37.1
57,88.0,87.0,39,109.7,31.9
74,89.0,86.0,52,111.7,28.2
109,93.0,97.0,84,126.0,32.7
138,85.0,93.0,93,107.8,33.2
126,96.0,94.0,108,124.4,33.0
113,95.0,92.0,99,116.7,28.9
153,100.0,90.0,133,113.0,29.9
51,100.0,93.0,51,128.7,27.4
50,100.0,85.0,47,130.0,30.0
152,89.0,90.0,113,95.1,34.5
207,77.0,88.0,118,91.6,28.5
153,86.0,90.0,122,121.7,37.7
176,80.0,92.0,112,85.0,30.6
131,87.0,46.0,90,105.4,35.2
135,79.0,94.0,83,99.8,35.3
103,86.0,94.0,75,122.2,41.9
87,98.0,97.0,79,140.3,34.9
138,91.0,91.0,121,123.6,39.7
111,89.0,91.0,82,121.1,42.3
128,95.0,90.0,96,118.2,41.9
129,95.0,95.0,114,118.0,41.1
106,95.0,91.0,92,125.1,41.1
128,91.0,95.0,108,122.8,40.7
99,91.0,89.0,78,109.6,37.5
90,87.0,85.0,64,87.1,29.4
108,93.0,87.0,90,140.4,38.5
77,84.0,90.0,53,131.9,39.4
107,94.0,92.0,92,112.3,39.6
114,97.0,93.0,99,130.0,39.4
168,99.0,95.0,163,151.1,29.6
174,90.0,89.0,144,132.1,39.2
353,97.0,89.0,323,128.9,36.4
137,95.0,85.0,107,115.6,37.4
84,85.0,89.0,59,117.8,41.6
100,93.0,93.0,75,93.5,31.0
164,100.0,96.0,163,149.8,18.2
113,99.0,91.0,110,146.5,14.3
128,100.0,90.0,128,147.0,14.4
93,100.0,86.0,93,150.4,14.1
147,100.0,93.0,145,148.3,13.0
109,68.0,86.0,56,93.8,31.1
140,100.0,87.0,139,139.6,25.1
97,100.0,89.0,95,134.3,29.3
102,99.0,91.0,96,138.8,26.2
46,87.0,82.0,25,117.6,28.0
89,85.0,88.0,62,97.4,37.1
105,94.0,89.0,90,114.0,43.8
80,94.0,88.0,58,133.9,29.9
66,86.0,87.0,32,74.4,20.7
81,84.0,84.0,56,108.4,36.7
79,81.0,91.0,45,82.3,24.3
105,89.0,92.0,69,89.8,30.9
89,92.0,88.0,71,100.5,33.9
81,78.0,94.0,41,98.3,30.0
171,91.0,95.0,110,106.1,32.4
39,97.0,70.0,25,103.3,26.3
79,82.0,90.0,54,106.2,32.2
113,88.0,84.0,69,88.0,27.1
58,79.0,81.0,27,81.6,25.6
113,90.0,86.0,75,97.5,34.1
85,99.0,88.0,76,104.2,28.1
195,87.0,92.0,116,105.8,30.1
105,93.0,94.0,69,97.5,34.1
146,100.0,97.0,143,132.9,36.5
102,87.0,96.0,63,100.6,30.8
117,78.0,89.0,68,83.8,24.2
70,93.0,96.0,44,93.7,32.0
96,95.0,91.0,81,100.1,30.3
103,86.0,91.0,56,87.3,30.4
94,88.0,89.0,60,87.6,29.3
65,65.0,85.0,29,76.3,23.4
121,76.0,94.0,68,91.4,27.4
131,96.0,95.0,104,124.9,40.8
